,Source_Get,RAJ2000_Get,DEJ2000_Get,Jmag_Get,e_Jmag_Get,Hmag_Get,e_Hmag_Get,Ksmag_Get,e_Ksmag_Get,Flag_Get,IRAC_Get,3.6mag_Get,e_3.6mag_Get,4.5mag_Get,e_4.5mag_Get,5.8mag_Get,e_5.8mag_Get,8.0mag_Get,e_8.0mag_Get,ACIS_Get,alpha_Get,e_alpha_Get,Class_Get,Av_Get,AgeJX_Get,AngDist_Get,designation_Ga,source_id_Ga,ra_Ga,ra_error_Ga,dec_Ga,dec_error_Ga,parallax_Ga,parallax_error_Ga,pmra_Ga,pmra_error_Ga,pmdec_Ga,pmdec_error_Ga,radial_velocity_Ga,radial_velocity_error_Ga,phot_g_mean_mag_Ga,phot_g_mean_flux_Ga,phot_g_mean_flux_error_Ga,phot_bp_mean_mag_Ga,phot_bp_mean_flux_Ga,phot_bp_mean_flux_error_Ga,phot_rp_mean_mag_Ga,phot_rp_mean_flux_Ga,phot_rp_mean_flux_error_Ga,teff_val_Ga,teff_percentile_lower_Ga,teff_percentile_upper_Ga,a_g_val_Ga,a_g_percentile_lower_Ga,a_g_percentile_upper_Ga,e_bp_min_rp_val_Ga,angular_distance_Ga,designation.1_Ga,ph_qual_Ga,j_m_Ga,j_msigcom_Ga,h_m_Ga,h_msigcom_Ga,ks_m_Ga,ks_msigcom_Ga,angular_distance.1_Ga,u_mag_Ga,u_mag_error_Ga,g_mag_Ga,g_mag_error_Ga,r_mag_Ga,r_mag_error_Ga,i_mag_Ga,i_mag_error_Ga,z_mag_Ga,z_mag_error_Ga
15,183022.39+012043.6,277.593312,1.345451,13.1,0.03,12.24,0.04,11.91,0.03,AAA000,G031.7268+05.3001,11.55,0.02,11.45,0.04,11.35,0.05,11,0.01,c689 ,-2.21,0.03,NOD    ,2,4.8,0.2304141003,Gaia DR2 4273745931311466496,4.27374593131147E+018,277.5933590448,0.0904524826,1.3454805467,0.0788303755,2.4106278568,0.0965067611,2.8289868835,0.1884467503,-9.1813777295,0.1708461338,,,16.153341,6516.4333087051,27.5316481748,17.635544,1219.937028868,16.613145791,14.954532,8374.4284258419,82.1938146259,3797.4265,3441.5,4068.7651,,,,,0.1045279032,18302240+0120439,AAA,13.1,0.027,12.237,0.036,11.906,0.03,0.0508356087,20.583488,0.06552237,18.470264,0.017612439,16.654959,0.01191133,15.460393,0.009724612,14.732634,0.010970442
16,182930.84+010107.1,277.378525,1.018656,12.49,0.03,11.32,0.03,10.69,0.02,AAA000,G031.3362+05.3421,9.63,0,9.26,0,9.07,0.01,8.28,0.02,     ,-1.5,0.01,DSK    ,5.2,    ,0.2693936579,Gaia DR2 4273707006024365568,4.27370700602437E+018,277.3785803175,0.0823376806,1.0186077592,0.1010663798,2.3095390175,0.1172890619,2.8746645127,0.1646878657,-8.5976264944,0.1708740278,,,16.432938,5036.991311221,66.4032828548,18.321205,648.7442719868,43.608242757,15.104106,7296.6853337026,320.8403201757,4052.3652,3638,4444.83,1.4225,1.0049,2.1708,0.7737,0.1059684006,18293084+0101071,AAA,12.491,0.028,11.325,0.031,10.688,0.021,0.0507347893,21.423529,0.1396312,19.57045,0.015530423,17.261074,0.013396251,15.854134,0.01053062,14.816551,0.016463723
17,182933.38+010824.4,277.389087,1.140114,9.79,0.03,9.37,0.03,9.21,0.02,AAA000,G031.4496+05.3881,8.82,0,8.43,0,8.01,0.01,6.71,0.02,     ,-1.01,0.02,DSK    ,0,    ,0.3507338545,Gaia DR2 4273713225137020160,4.27371322513702E+018,277.3891080632,0.0449009565,1.1400146944,0.0491253104,2.2805733551,0.0519947279,3.0760434552,0.0909936296,-9.1474981485,0.1049939195,,,11.542398,455393.561397797,171.7482541038,12.091202,201407.012483591,446.2980106882,10.831261,373476.948872918,780.3037689065,4786.71,4676.3364,4928.815,,,,,0.0450368757,18293338+0108242,AAA,9.793,0.026,9.369,0.027,9.211,0.023,0.0651783906,15.736,0.01,14.791,0.012,14.766,0.013,13.725,0.012,13.752,0.018
18,182941.48+010737.8,277.422867,1.127192,11.6,0.02,10.39,0.03,9.64,0.02,AAA000,G031.4536+05.3522,8.59,0,8.35,0,7.75,0.01,7.22,0.02,     ,-1.54,0.01,DSK    ,5,    ,0.1904827169,Gaia DR2 4273712503582510848,4.27371250358251E+018,277.4228235359,0.0651600787,1.1271484965,0.0730968658,2.4817410128,0.0870094504,3.043914364,0.1440421938,-8.6826740375,0.1679329639,,,15.777076,9215.436844035,160.5513932349,17.267738,1711.8280595391,124.6375953642,14.5389385,12279.8320398957,610.8270077341,3731.1768,3378.775,4370.7134,,,,,0.057176031,18294147+0107378,AAA,11.603,0.023,10.386,0.028,9.644,0.019,0.0465092433,21.137726,0.082894556,18.976212,0.017713262,16.857203,0.01364705,15.643425,0.011255426,14.568182,0.011178308
19,182943.93+010720.6,277.433079,1.122397,13.9,0.03,12.45,0.03,11.6,0.02,AAA000,G031.4540+05.3409,10.68,0,10,0,10.03,0,9.24,0.02,     ,-1.32,0.01,DSK    ,7.5,    ,0.0706104154,Gaia DR2 4273712297424078976,4.27371229742408E+018,277.4330913707,0.1831691838,1.1223852523,0.1883478011,2.5054818835,0.2196364273,3.9385101779,0.3799123562,-8.2393262636,0.437584884,,,18.161346,1025.1971379363,40.9612877215,20.109287,124.979893274,23.3582573682,16.779922,1558.8316881254,181.5881530217,,,,,,,,0.1282517205,18294393+0107208,AAA,13.896,0.028,12.45,0.031,11.596,0.024,0.0542038182,22.755299,0.28357163,21.323055,0.04337907,18.965765,0.015989829,17.500986,0.012068887,16.388304,0.012447547
20,182951.45+010932.5,277.464412,1.159042,15.67,0.07,14.96,0.09,13.2,     ,AAUcc0,G031.5011+05.3297,13.91,0.02,13.62,0.09,13.32,0.06,12.75,0.05,     ,-1.56,0.06,DSK    ,    ,    ,0.0848502902,Gaia DR2 4273718443521310080,4.27371844352131E+018,277.4643984496,0.615511718,1.1590586259,0.6323509624,2.4365665074,0.6499673002,2.8466796933,1.2400624823,-8.0983638018,1.5399560019,,,19.833273,219.804951779,1.5258338359,21.493107,34.9391682586,8.359278251,18.395987,351.8625657851,11.3838488521,,,,,,,,0.0087635634,18295145+0109327,AAU,15.666,0.073,14.963,0.092,13.202,,0.0705625677,23.58384,0.54540324,22.704567,0.13212585,21.47207,0.06132777,19.111212,0.017918853,17.770033,0.019453721
21,182953.10+010617.6,277.471283,1.104906,14.38,0.04,13.05,0.03,12.56,0.03,AAA000,G031.4558+05.2989,11.28,0,11.12,0,10.52,0.01,10.17,0.02,     ,-1.8,0.01,DSK    ,5.9,    ,0.0466808164,Gaia DR2 4273709303830670080,4.27370930383067E+018,277.4712896282,0.2123091988,1.104899579,0.2786514034,2.2861887101,0.3278326465,3.190577614,0.4322791067,-8.7546579775,0.4200102974,,,18.512602,741.8319523055,21.3472491371,20.806326,65.7695415738,11.0522154596,17.095182,1165.9897317244,124.8944304016,,,,,,,,0.0876364884,18295310+0106177,AAA,14.383,0.035,13.052,0.032,12.561,0.028,0.0563431388,23.425415,0.48768893,22.134335,0.07903908,19.555954,0.018514154,17.570387,0.012145745,16.26871,0.012278795
22,183000.08+010305.6,277.500346,1.051572,14.16,0.03,12.7,0.03,12.1,0.02,AAA000,G031.4215+05.2487,11.66,0,11.44,0,11.1,0.02,9.95,0.05,     ,-1.93,0.02,DSK    ,7.3,    ,0.1978161138,Gaia DR2 4273708066880074880,4.27370806688007E+018,277.5003702987,0.4082253723,1.0515205641,0.461853538,2.3043652767,0.5497689517,2.7856017731,0.7706500586,-7.2556875833,0.8527193026,,,19.271442,368.7817683702,2.0032451882,21.058138,52.1555000053,15.8379599792,17.701565,667.0251216641,11.6967205306,,,,,,,,0.1715608207,18300009+0103057,AAA,14.159,0.031,12.702,0.031,12.101,0.023,0.0897325537,24.234165,1.2021792,25.954422,0.7047807,21.324743,0.063325815,18.793674,0.014647545,17.076794,0.018818347
23,183006.41+010105.5,277.526733,1.018217,12.64,0.03,11.4,0.03,10.56,0.02,AAA000,G031.4038+05.2100,9.56,0,9.02,0,8.71,0.01,7.77,0.02,     ,-0.9,0.01,DSK    ,4.5,    ,0.1411634348,Gaia DR2 4273707727578849920,4.27370772757885E+018,277.5267589407,0.0838410392,1.0181889053,0.0968869351,2.3754450969,0.1147836653,3.3555879379,0.1604663632,-8.6444366124,0.1806853339,,,16.393087,5225.2985576193,40.0213003312,18.061975,823.6919422539,22.1107094975,15.172294,6852.5208774787,333.806325204,3431.46,3304.6667,3699.85,,,,,0.0663009965,18300642+0101056,AAA,12.643,0.026,11.395,0.03,10.562,0.023,0.0330772478,22.254835,0.45527676,19.328768,0.021721486,17.143684,0.015253802,15.827515,0.012570889,14.870576,0.015111672
24,183008.50+010137.4,277.535437,1.027067,13.54,0.03,12.34,0.03,11.67,0.02,AAA000,G031.4157+05.2063,10.64,0,10.13,0,10.01,0.01,9.08,0.02,     ,-1.11,0.01,DSK    ,5.5,    ,0.265583204,Gaia DR2 4273707830658065152,4.27370783065806E+018,277.5354667579,0.1234909194,1.0269968409,0.1573942912,2.5796378928,0.1877416923,3.0646139847,0.241903079,-8.6673697909,0.2639083494,,,17.520807,1849.3696898481,12.7731752334,19.436838,232.1775949194,17.4495754907,16.12691,2844.4915267183,57.8355474622,,,,,,,,0.0756402352,18300851+0101373,AAA,13.54,0.029,12.34,0.031,11.671,0.023,0.0152961239,21.936579,0.23038852,20.857105,0.033966273,18.582485,0.015708633,16.951607,0.01007094,15.730679,0.015404748
25,183009.22+011752.5,277.538446,1.297919,15.42,0.06,13.97,0.05,12.95,0.03,AAA000,G031.6591+05.3272,11.34,0,10.85,0,10.52,0.01,9.92,0.02,     ,-1.13,0.01,DSK    ,5.3,    ,0.1711798026,Gaia DR2 4273722257452129408,4.27372225745213E+018,277.5384464363,0.2470559016,1.2978661207,0.266431241,2.3404547364,0.3681697003,2.3611659587,0.4987816074,-9.5768177823,0.5721077779,,,18.86122,538.0942351277,23.3526645967,100,100,1,100,100,1,,,,,,,,0.2007001571,18300922+0117526,AAA,15.419,0.065,13.974,0.046,12.953,0.032,0.0671247249,22.303724,0.23197223,20.86049,0.036271505,19.204956,0.016357781,18.008099,0.011814767,16.915606,0.014179644
26,183014.43+010406.2,277.56015,1.068394,15.25,0.06,14.31,0.06,13.92,0.06,AAA000,G031.4639+05.2032,12.82,0.01,12.36,0.01,12.04,0.03,11.32,0.02,     ,-1.15,0.03,DSK    ,2.7,    ,0.220667942,Gaia DR2 4273713839316336768,4.27371383931634E+018,277.5601736156,0.5173757015,1.0683346996,0.5780854692,2.1097646987,0.6314470513,3.6493723421,0.9984442339,-5.5023044784,1.1240871927,,,19.771164,232.7453562204,1.8852159845,100,100,1,100,100,1,wdc,,,,,,,0.1595212987,18301442+0104061,AAA,15.246,0.065,14.312,0.056,13.921,0.065,0.1120779952,23.970762,0.6362762,23.479795,0.2514954,21.362837,0.056352552,19.237638,0.025048655,17.604042,0.021537766
27,183023.43+010504.7,277.597638,1.084653,13.4,0.03,12.43,0.04,11.78,0.02,AAA000,G031.4956+05.1773,10.73,0,10.25,0,9.83,0.01,9.01,0.01,     ,-1,0.01,DSK    ,2,    ,0.351675046,Gaia DR2 4273713908034536576,4.27371390803454E+018,277.5976643403,0.1044707661,1.0845551211,0.107983946,2.3953154606,0.1231885767,3.2791391332,0.2112921037,-7.9848014744,0.2424563614,,,17.240746,2393.5802576487,11.0739647771,19.272934,270.0109562797,14.1980447957,15.821937,3766.9789222769,66.9694358058,,,,,,,,0.0565465733,18302343+0105045,AAA,13.403,0.03,12.434,0.035,11.779,0.023,0.0795578424,21.58757,0.1132009,19.978079,0.024880132,18.141659,0.016815966,16.4873,0.011680787,15.371711,0.010438068
